race_id,race_name,race_description,event_id,event_name,distance,start_time,city,state,zipcode,race_url,result_set_id,result_set_name
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",1155721,2026 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2026 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,,
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",987494,2025 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2025 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,564071,Overall Results - 2025 Farm Bureau Watermelon Classic 5k RUN
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",843361,2024 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2024 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,470662,5K Run Overall Results
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",698223,2023 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2023 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,391755,Overall Results
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",609109,2022 Farm Bureau Watermelon Classic 5k RUN,5K,7/4/2022 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,326598,Farm Bureau Watermelon Classic 5k RUN Results
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",495705,2021 Farm Bureau Watermelon Classic 5k RUN,5K,7/3/2021 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,261357,2021 Farm Bureau Watermelon Classic 5K Run Overall Results
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",407416,2020 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2020 00:00,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,197905,Virtual 2020 Farm Bureau Watermelon Classic 5k Run
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",308814,2019 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2019 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,,
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",233263,2018 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2018 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,,
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",147717,2017 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2017 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,,
32802,Farm Bureau Watermelon Classic 5k Run/Walk,"The Annual Farm Bureau Watermelon Classic benefitting the Mississippi Sports Hall of Fame & Museum will take place on Saturday, July 4, 2026! This annual event is one of the largest fundraisers for th",103043,2016 Farm Bureau Watermelon Classic 5k Run,5K,7/4/2016 07:30,Jackson,MS,39216,https://runsignup.com/Race/MS/Jackson/Watermelon?aflt_token=uL3LJsNhaU6SFxIRWfJFjA0K24o2fddK,,
